HCPCS_Cd,statistic,p_value,median_ratio,p_adj,reject,median_percent_difference,HCPCS_Desc,HCPCS_prefix,oncology_related
96573,15341.0,0.009556688850537188,0.9383507259528131,0.049502986883232424,True,-6.164927404718689,Application of light by qualified health care professional to destroy precancer skin growth,9,True
96910,8405.5,0.005758157183983514,0.6587837837837838,0.03228449926750307,True,-34.12162162162162,Therapy procedure using ultraviolet radiation with tar or petroleum jelly application,9,True
97018,19118.0,0.006430508312725121,0.8397745358090186,0.0353914372946673,True,-16.022546419098138,Application of hot wax bath,9,False
97110,358099439.0,8.971214876431513e-29,0.9104010685788603,3.949973138240581e-27,True,-8.959893142113973,"Therapy procedure using exercise to develop strength, endurance, range of motion, and flexibility, each 15 minutes",9,False
97597,2358044.5,1.396150105368604e-05,0.9333333333333335,0.0001492883362669143,True,-6.666666666666654,"Removal of tissue from wound, 20.0 sq cm or less",9,False
97760,26114.5,0.0038164461945363708,0.842391304347826,0.02258189704830414,True,-15.760869565217394,"Training in the use of orthopedic device for arm, leg and/or trunk, each 15 minutes",9,False
99153,86413.0,0.002626124949966569,0.8121182934570848,0.01631248568506205,True,-18.788170654291527,"Use of a drug to induce depression of consciousness by physician performing a procedure, each additional 15 minutes",9,False
99195,39255.5,0.003854728946143438,0.8959999999999999,0.022718619025105222,True,-10.40000000000001,Drawing of blood for a medical problem,9,False
99211,12534486.5,2.6413091693949474e-23,0.9146436961628817,9.643999577034722e-22,True,-8.535630383711833,Office or other outpatient visit for the evaluation and management of established patient that may not require presence of healthcare professional,9,False
99231,87626969.5,5.01372976297759e-30,0.9390667761357416,2.274410137932561e-28,True,-6.093322386425837,"Subsequent hospital care with straightforward or low level of medical decision making, per day, if using time, at least 25 minutes",9,False
99307,5119626.5,1.5907287941108385e-22,0.8474801061007957,5.537955825078896e-21,True,-15.251989389920428,"Subsequent nursing facility care with straightforward level of medical decision making, per day, if using time, at least 10 minutes",9,False
99347,576216.0,8.537401469662209e-05,0.8721804511278196,0.0007607434523859718,True,-12.781954887218038,"Residence visit for established patient with straightforward medical decision making, per day, if using time, at least 15 minutes",9,False
99348,5623386.0,0.002760164842266966,0.9411764705882353,0.016865170485198564,True,-5.882352941176472,"Residence visit for established patient with low level of medical decision making, per day, if using time, at least 30 minutes",9,False
99458,942329.0,0.0036454823891593946,0.8514412416851441,0.021829148546286453,True,-14.855875831485587,"Management using the results of remote vital sign monitoring per calendar month, each additional 20 minutes",9,False
99484,76454.0,0.0017493428096165375,0.8034493437194788,0.011743346125542408,True,-19.655065628052114,"Care management services for behavioral health conditions, 20 minutes or more clinical staff time directed by health care professional",9,False
99490,20620897.0,1.8800124205251643e-08,0.9220454308968101,2.962503782659127e-07,True,-7.795456910318988,"Chronic care management services, first 20 minutes of clinical staff time directed by health care professional, per calendar month",9,False
A0425,5302366.0,1.8392702958346932e-285,0.49166254251171815,1.3766938164322677e-282,True,-50.833745748828186,"Ground mileage, per statute mile",A,False
A0436,7627.0,4.8611000413429597e-14,0.7375902344510268,1.2766783792790193e-12,True,-26.240976554897323,"Rotary wing air mileage, per statute mile",A,False
A9552,102041.0,1.3010888605264421e-11,0.908039041703638,2.822797136533455e-10,True,-9.196095829636198,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",A,False
A9577,3419.0,7.054299174083441e-06,0.9197457312896313,8.000216563335539e-05,True,-8.025426871036867,"Injection, gadobenate dimeglumine (multihance), per ml",A,True
G0179,2430929.0,6.34371502233731e-40,0.8787185354691075,3.9568922451828974e-38,True,-12.12814645308925,"Physician or allowed practitioner re-certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians a",G,False
