HCPCS_Cd,statistic,p_value,median_ratio,p_adj,reject,median_percent_difference
22634,2394.5,0.0024548848025141693,0.8366013071895425,0.015697232185229264,True,-16.33986928104575
22840,95550.5,0.8148191743058948,1.0,1.0,False,0.0
22842,184608.5,0.6658705539408996,1.0,1.0,False,0.0
22845,21766.0,0.1143342796357969,1.0,0.3464745275602995,False,0.0
22853,477952.5,0.7353242778952114,1.0231337944192702,1.0,False,2.3133794419270215
23412,2332.0,0.9017407763247086,1.0,1.0,False,0.0
23430,47703.0,0.31870524004442596,1.0,0.6864773299949722,False,0.0
23472,926884.5,0.5211343201524175,1.0,0.9039838670546569,False,0.0
23600,1608.0,0.837791330107902,1.0,1.0,False,0.0
25310,3203.0,0.9996335454544947,1.0357142857142858,1.0,False,3.571428571428581
25447,37240.5,0.30143843177527074,1.0,0.6710164948091185,False,0.0
25600,4594.5,0.6848836713945858,1.0,1.0,False,0.0
25609,7125.5,0.8568302630432605,1.0,1.0,False,0.0
26055,489321.5,0.9868555436211595,1.025252525252525,1.0,False,2.525252525252508
26123,2471.5,0.144685214992893,0.9743589743589745,0.41177522213756806,False,-2.564102564102555
26160,4801.5,0.04449784298003489,0.9572649572649573,0.16821533065937433,False,-4.273504273504269
26480,6227.0,0.06905240027258812,0.9595238095238097,0.23818304886650787,False,-4.047619047619033
27096,1528650.5,0.46899227062397414,1.0,0.8530758555578242,False,0.0
27130,3655493.5,0.4354541768337366,1.0149253731343284,0.8189383200001302,False,1.4925373134328401
27236,126632.0,0.7213082897392029,1.0,1.0,False,0.0
27245,244289.0,0.13425451360387425,1.0,0.39109432753063944,False,0.0
27446,7037.5,0.5333337417894901,1.0,0.9099353156908757,False,0.0
27447,9117553.0,0.5830115339187535,1.0002825656965246,0.9616206321775671,False,0.028256569652462815
28010,1594.0,0.16585277930200326,0.8939849624060151,0.4572405352027604,False,-10.60150375939849
28232,1245.0,0.036142500678016075,0.8773517504167659,0.1408992799869533,False,-12.264824958323405
28270,1195.0,0.4204179960931766,0.9985315712187958,0.8068791540403659,False,-0.1468428781204234
28285,40775.5,0.09834878312523732,0.9686962504299964,0.30608758490328536,False,-3.130374957000359
28308,2301.0,0.38017423437249753,0.9414103007258902,0.7618752728991015,False,-5.858969927410984
28750,4137.5,0.9234511067171085,1.0,1.0,False,0.0
29075,26091.0,0.14320348802705268,1.0,0.40911378163453793,False,0.0
29125,8463.5,0.8835513156994663,1.0625,1.0,False,6.25
29405,7946.0,0.3548811936699023,0.9687924016282226,0.7378571485053386,False,-3.1207598371777445
29515,2573.5,0.9703401320860744,1.0929435483870968,1.0,False,9.294354838709683
29540,89385.0,0.9466229322347687,1.0359175474675977,1.0,False,3.5917547467597677
29550,7528.5,0.9192176751267107,1.058095238095238,1.0,False,5.809523809523798
29580,39947.5,0.0876510720291625,0.8866086035242978,0.2821799028551748,False,-11.339139647570217
29581,50736.5,0.42002530585769476,0.9902319902319903,0.8068791540403659,False,-0.9768009768009733
29823,128399.0,0.4413935760295006,1.0,0.823897984184741,False,0.0
29824,94838.5,0.4583411546838103,1.0,0.8387979322269732,False,0.0
29826,318990.5,0.4739711386412359,1.0,0.8590009619200123,False,0.0
29827,512258.0,0.023091434113295443,1.0,0.10165849511525589,False,0.0
29828,46424.5,0.29353706072466323,1.0,0.6632674839616756,False,0.0
29848,80821.0,0.0018539068636545652,0.9774092766161981,0.012280082189782673,True,-2.259072338380186
29880,31881.5,0.2725515838078384,1.0,0.6320934327236984,False,0.0
29881,56741.0,0.8275028855944584,1.0,1.0,False,0.0
30117,2644.5,0.7231999820970777,1.011494252873563,1.0,False,1.1494252873563093
30140,26527.0,0.994116937959362,1.0,1.0,False,0.0
30520,13127.0,0.19665032291846912,1.0,0.5155613544815206,False,0.0
30801,1160.0,0.5315917086799912,1.0,0.9099353156908757,False,0.0
30901,15889.0,0.010550628236134653,0.955101115101115,0.053430407334551476,False,-4.489888489888505
31231,2026254.0,0.9999924840014445,1.0329181667801888,1.0,False,3.2918166780188773
31237,49669.0,0.1381236812899596,0.979757085020243,0.39687361015560374,False,-2.0242914979757054
31238,5545.0,0.46325691355590776,1.0064516129032257,0.8446962236214299,False,0.6451612903225712
31267,5723.5,0.9464536113161894,1.0,1.0,False,0.0
31295,5325.0,0.8152024441418552,1.0,1.0,False,0.0
31298,2407.0,0.6729488350973087,1.0,1.0,False,0.0
31500,107607.0,0.03483017397559723,1.0,0.13830443087922825,False,0.0
31575,3268515.5,0.9902324731899896,1.0122358175750834,1.0,False,1.2235817575083408
31579,25412.5,0.9884949406845791,1.032614322691976,1.0,False,3.261432269197595
31622,5497.0,0.305849557330497,0.9866125760649086,0.6715534234369566,False,-1.3387423935091403
31624,219388.0,0.6697742297376698,0.9961698931909212,1.0,False,-0.3830106809078804
31627,23086.5,0.1754808006890426,1.0,0.47470325837841737,False,0.0
31628,37184.0,0.9161890129572112,1.0,1.0,False,0.0
31629,21172.5,0.36463110705333196,1.0,0.7487692280642496,False,0.0
31645,20634.5,0.6492136147351102,1.0026282590412112,1.0,False,0.2628259041211223
