feature,coefficient,p_value,lower_ci,upper_ci
C(Rndrng_Prvdr_Type_Grouped)[T.Gastroenterology],-1.8829351314179779,0.0,-1.8921619918900685,-1.8737082709458872
C(Rndrng_Prvdr_Type_Grouped)[T.General Surgery],-1.9041564540357292,0.0,-1.9138258109282633,-1.894487097143195
C(Rndrng_Prvdr_Type_Grouped)[T.Hematology-Oncology],-2.2053757978569126,0.0,-2.2148505249959793,-2.195901070717846
C(Rndrng_Prvdr_Type_Grouped)[T.Hospitalist],-2.057439885178865,0.0,-2.067651065298188,-2.047228705059542
C(Rndrng_Prvdr_Type_Grouped)[T.Internal Medicine],-2.182319266637656,0.0,-2.1906713446560357,-2.1739671886192764
C(Rndrng_Prvdr_Type_Grouped)[T.Interventional Cardiology],-1.9567951527868732,0.0,-1.966827277502031,-1.9467630280717154
C(Rndrng_Prvdr_Type_Grouped)[T.Interventional Radiology],-2.392440783042762,0.0,-2.403738050610676,-2.381143515474848
C(Rndrng_Prvdr_Type_Grouped)[T.Mass Immunizer Roster Biller],-1.4126196241679516,0.0,-1.4221645627983162,-1.403074685537587
C(Rndrng_Prvdr_Type_Grouped)[T.Medical Oncology],-2.209378883831733,0.0,-2.221198887431608,-2.1975588802318584
C(Rndrng_Prvdr_Type_Grouped)[T.Nephrology],-1.9087659775173111,0.0,-1.9189083535868672,-1.898623601447755
C(Rndrng_Prvdr_Type_Grouped)[T.Neurology],-1.8292674587091478,0.0,-1.838960241354761,-1.8195746760635345
C(Rndrng_Prvdr_Type_Grouped)[T.Nurse Practitioner],-2.3934329751284453,0.0,-2.4017432792427234,-2.3851226710141673
C(Rndrng_Prvdr_Type_Grouped)[T.Obstetrics & Gynecology],-2.029233601948019,0.0,-2.0398454407149265,-2.0186217631811116
C(Rndrng_Prvdr_Type_Grouped)[T.Ophthalmology],-1.5992324675753609,0.0,-1.608227046939626,-1.5902378882110957
C(Rndrng_Prvdr_Type_Grouped)[T.Optometry],-2.053499721787336,0.0,-2.0628477901910545,-2.0441516533836177
C(Rndrng_Prvdr_Type_Grouped)[T.Orthopedic Surgery],-1.9323908099184546,0.0,-1.9412277883305478,-1.9235538315063614
C(Rndrng_Prvdr_Type_Grouped)[T.Other],-1.9698569629495126,0.0,-1.9781972726841308,-1.9615166532148944
C(Rndrng_Prvdr_Type_Grouped)[T.Otolaryngology],-2.121594219811976,0.0,-2.1319071970342445,-2.111281242589708
C(Rndrng_Prvdr_Type_Grouped)[T.Pathology],-1.3552048903622425,0.0,-1.3649939673952913,-1.3454158133291936
C(Rndrng_Prvdr_Type_Grouped)[T.Physical Medicine and Rehabilitation],-2.0715555610198857,0.0,-2.081944240568099,-2.0611668814716726
C(Rndrng_Prvdr_Type_Grouped)[T.Physical Therapist in Private Practice],-2.4296597448950856,0.0,-2.4384610037662804,-2.420858486023891
C(Rndrng_Prvdr_Type_Grouped)[T.Physician Assistant],-2.4392910550290656,0.0,-2.4476965750846387,-2.4308855349734926
C(Rndrng_Prvdr_Type_Grouped)[T.Podiatry],-2.5110378154866493,0.0,-2.520266331409414,-2.5018092995638845
C(Rndrng_Prvdr_Type_Grouped)[T.Psychiatry],-1.9972719907695817,0.0,-2.008679643647731,-1.9858643378914327
C(Rndrng_Prvdr_Type_Grouped)[T.Pulmonary Disease],-2.2853655430377993,0.0,-2.2950980816810795,-2.275633004394519
C(Rndrng_Prvdr_Type_Grouped)[T.Radiation Oncology],-1.3689691200662797,0.0,-1.3796105152063185,-1.3583277249262409
C(Rndrng_Prvdr_Type_Grouped)[T.Rheumatology],-2.1208064640756703,0.0,-2.131844699194299,-2.1097682289570416
C(Rndrng_Prvdr_Type_Grouped)[T.Urology],-2.183853334224718,0.0,-2.193099833186317,-2.1746068352631194
C(Rndrng_Prvdr_Type_Grouped)[T.Vascular Surgery],-1.7993503992754196,0.0,-1.8105489106346084,-1.7881518879162308
C(Place_Of_Srvc)[T.O],-0.0050648727183965426,8.229174912352693e-10,-0.006681524770635032,-0.0034482206661580533
C(CPT_category)[T.Drugs],-4.255934577666433,0.0,-4.264706894190048,-4.247162261142818
C(CPT_category)[T.E/M],-0.4575807708815318,0.0,-0.4655085833848114,-0.44965295837825225
C(CPT_category)[T.Medicine],-1.3704205701213235,0.0,-1.3784573699908356,-1.3623837702518113
C(CPT_category)[T.Other CPT],-0.3351830512928447,1.9304381474129577e-286,-0.35334613381778557,-0.31701996876790384
C(CPT_category)[T.Other HCPCS],-3.419979215495292,0.0,-3.4328535614596425,-3.4071048695309414
C(CPT_category)[T.Pathology/Lab],-2.408978178035149,0.0,-2.4173043486953496,-2.4006520073749487
C(CPT_category)[T.Procedures/Screening],-1.345525154687194,0.0,-1.3538005272771656,-1.3372497820972225
C(CPT_category)[T.Radiology],-1.2732729307482025,0.0,-1.2815240133276073,-1.2650218481687976
C(CPT_category)[T.Surgery],-0.5088770489201615,0.0,-0.5167125678275841,-0.5010415300127389
C(CPT_category)[T.Transportation/DME],-0.9895341164404525,0.0,-1.0010248682022367,-0.9780433646786683
Tot_Benes_scaled,-0.010363506415330945,1.6143591780073412e-236,-0.010982017886388612,-0.009744994944273278
rural_urban,-0.05536645941756694,0.0,-0.05737703621567417,-0.053355882619459706
